,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1669,2020-10-31 11:30:57+00:00,231.85128945828296,246.64362760242835,284.1026732522332,253.23037877476915,253.5247226464418,275.85890233098985,333.9281524786018,351.58205356305217,371.37971555331654,403.9041103127651
1670,2020-11-07 11:09:01+00:00,205.96314175962908,218.4543099578082,260.17654132226215,231.7351799492774,231.79631136217674,255.8411915855596,310.01622911323807,332.021090149749,348.28576586083807,388.6641912431705
1671,2020-11-07 11:21:01+00:00,233.424446251454,244.53754710499786,284.2485090805055,261.61739402640694,259.363358320496,285.10090686475786,337.8961036688017,360.7871006123057,378.0994384761679,423.01948796490564
1672,2020-11-08 10:24:54+00:00,,,,,235.42346668448678,251.31202368911306,304.88342691997,329.61920755413917,347.1569271021762,352.42074923600194
1673,2020-11-10 11:30:55+00:00,223.08487692977783,241.54132660707674,276.58679552992413,251.80464816757018,249.38863342271222,270.48753840961103,324.61332366446345,343.285888738525,366.24616747306953,402.51503393571505
1674,2020-11-15 10:30:36+00:00,,237.6767886823075,266.52426082050005,244.72614309531147,243.79011977428814,264.8864678912107,317.9058378099114,340.9717993233813,359.81324098112464,352.6389148024325
1675,2020-11-15 11:30:57+00:00,203.60400843746987,216.7146195542982,256.46913934202263,229.4623432949756,226.2870604628019,248.0864776022481,310.05240129768276,323.4319979498573,343.79659550359247,376.73258004599876
1676,2020-11-20 11:30:54+00:00,247.25914947131997,261.0789473551359,302.2501562025665,287.9405459203573,294.06337058028043,310.393284712426,348.3352545532484,373.009185527373,406.1049103978805,442.8474346895702
1677,2020-11-22 11:21:00+00:00,213.36732884853453,228.548578373258,266.3975983047743,242.45477563157297,242.85071356642547,264.3845357804829,323.460146643887,341.6264135215575,358.38049253091333,393.7650303951541
1678,2020-11-23 11:09:03+00:00,202.51774254204219,227.26039301747016,257.41718234249936,230.6376723110079,229.16547601601442,247.69586961627365,306.65618382611376,329.3608183480555,346.8691380480833,381.6455454810564
1679,2020-12-02 11:02:54+00:00,,,,,,,,345.10718253799905,358.13163087922374,403.944339860395
1680,2020-12-02 11:20:57+00:00,237.14232624793232,252.73762685453983,290.099019585398,261.0731535441664,249.58699888793203,272.84090720732553,328.04491274951727,349.94704375566397,368.95416774867874,407.4348791521692
1681,2020-12-05 11:30:52+00:00,240.14365330422171,258.39891030737937,303.5712486534213,288.00242307346036,290.98229006914704,300.45221095524687,341.77919997152503,375.14594716086174,383.38581283198766,439.59963592026054
1682,2020-12-09 11:09:05+00:00,218.5951332356331,232.1920339565705,271.3124959166206,245.13900010374914,233.86248865900188,256.12835494544925,312.904486806293,332.3665429451777,348.0104012668563,380.9436716026154
1683,2020-12-15 11:30:51+00:00,222.34738677997208,230.75892789931493,269.83217937672066,248.06479921334386,229.59349690470106,247.92932741210078,312.8492441167058,330.32271039604325,327.5584649425635,
1684,2020-12-17 10:28:15+00:00,223.98263294969198,237.54256389882073,,,,,303.8315054445025,,383.17751834259036,416.64824554988377
1685,2020-12-17 11:20:54+00:00,239.1749080289281,254.3554003998338,293.9170032674151,283.57445404965847,294.9543763476372,288.7920027873224,335.0962135418825,346.5290327257344,361.344901642276,436.8062976738761
1686,2020-12-18 11:02:53+00:00,,,,,,,400.55076857564586,339.3695305928379,336.2289228877632,
1687,2020-12-20 11:30:50+00:00,231.42059547060802,247.2056838720332,285.85520042369444,272.81107262605207,283.91894110721387,280.6487084011588,334.67310552623013,352.05106183186433,364.92545449658985,427.59500289934044
1688,2020-12-22 11:20:57+00:00,224.9641747837248,239.5097634225092,281.8014715052555,262.4935333026229,262.7424508232322,281.8044202659567,325.15997229278724,349.70903462311117,371.8176472385835,402.15877354596785
1689,2020-12-26 10:21:25+00:00,,,279.8695150968391,255.8309018947138,257.44551142276293,258.95299743929286,299.07361700671606,,,
1690,2020-12-27 11:20:56+00:00,226.07579338618302,239.36742702567875,281.98847435032235,261.98603827331476,261.1485663723941,264.30786799750564,322.91267017122334,341.61501134000633,360.84415959006213,394.08671972619175
1691,2020-12-30 11:30:52+00:00,231.22871359142104,245.2418751269941,290.23813509616275,268.73086334576925,270.33108841298895,290.14175838765317,333.104231052173,354.47165253171244,375.6912059327275,413.24069433644735
1692,2021-01-01 11:20:58+00:00,238.5893519006525,251.40075901255165,295.2224158654658,275.49069481998106,283.7126892138487,316.1638003298562,345.20913743085447,370.9514265998371,412.473997531421,451.5018725567329
1693,2021-01-02 10:27:07+00:00,,,,,,,,,,
1694,2021-01-03 11:02:49+00:00,,,,,,,,431.3528920746953,421.00637964895907,466.1094327940874
